time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,wind_speed_10m_max,city,official_name
2009-03-11,29.9,22.6,26.0,0.0,0.0,8.0,Nha Trang,Nha Trang
2009-03-12,30.4,22.6,26.3,0.0,0.0,9.1,Nha Trang,Nha Trang
2009-03-13,30.4,23.0,26.4,0.0,0.0,8.7,Nha Trang,Nha Trang
2009-03-14,26.7,23.4,24.6,4.2,4.2,15.1,Nha Trang,Nha Trang
2009-03-15,28.1,22.7,24.9,0.0,0.0,14.0,Nha Trang,Nha Trang
2009-03-16,28.0,23.4,25.4,0.5,0.5,12.2,Nha Trang,Nha Trang
2009-03-17,28.6,24.4,26.0,1.1,1.1,8.4,Nha Trang,Nha Trang
2009-03-18,30.2,23.3,26.4,0.8,0.8,10.1,Nha Trang,Nha Trang
2009-03-19,30.6,24.6,27.0,0.3,0.3,9.0,Nha Trang,Nha Trang
2009-03-20,30.8,23.6,27.1,0.0,0.0,10.1,Nha Trang,Nha Trang
2009-03-21,29.7,23.6,26.7,6.8,6.8,8.9,Nha Trang,Nha Trang
2009-03-22,31.6,24.4,27.8,1.6,1.6,9.0,Nha Trang,Nha Trang
2009-03-23,31.9,25.6,28.4,1.8,1.8,7.8,Nha Trang,Nha Trang
2009-03-24,32.5,26.0,28.6,0.7,0.7,7.9,Nha Trang,Nha Trang
2009-03-25,32.8,25.7,28.5,0.0,0.0,9.7,Nha Trang,Nha Trang
2009-03-26,30.8,24.3,27.1,0.6,0.6,9.2,Nha Trang,Nha Trang
2009-03-27,30.8,24.2,27.1,0.0,0.0,8.8,Nha Trang,Nha Trang
2009-03-28,32.2,24.4,27.7,0.0,0.0,10.1,Nha Trang,Nha Trang
2009-03-29,32.0,24.4,27.6,0.0,0.0,8.9,Nha Trang,Nha Trang
2009-03-30,30.1,24.6,26.2,2.4,2.4,11.3,Nha Trang,Nha Trang
2009-03-31,28.2,23.6,25.7,6.1,6.1,12.0,Nha Trang,Nha Trang
2009-04-01,24.8,23.2,23.8,37.5,37.5,6.6,Nha Trang,Nha Trang
2009-04-02,27.6,23.1,24.7,30.3,30.3,7.2,Nha Trang,Nha Trang
2009-04-03,27.0,23.6,25.4,11.1,11.1,8.7,Nha Trang,Nha Trang
2009-04-04,28.2,24.7,26.0,2.2,2.2,8.3,Nha Trang,Nha Trang
2009-04-05,28.5,24.6,26.0,3.0,3.0,7.7,Nha Trang,Nha Trang
2009-04-06,26.3,23.9,25.0,9.0,9.0,6.5,Nha Trang,Nha Trang
2009-04-07,27.0,24.1,25.1,16.8,16.8,7.9,Nha Trang,Nha Trang
2009-04-08,28.1,24.1,25.7,1.4,1.4,8.5,Nha Trang,Nha Trang
2009-04-09,28.0,24.6,25.9,4.1,4.1,7.0,Nha Trang,Nha Trang
2009-04-10,28.1,24.8,26.0,6.8,6.8,7.3,Nha Trang,Nha Trang
2009-04-11,28.7,25.1,26.5,1.3,1.3,8.2,Nha Trang,Nha Trang
2009-04-12,29.5,24.7,26.8,1.4,1.4,7.9,Nha Trang,Nha Trang
2009-04-13,29.9,24.4,27.3,1.5,1.5,6.6,Nha Trang,Nha Trang
2009-04-14,31.0,26.4,28.2,3.9,3.9,5.0,Nha Trang,Nha Trang
2009-04-15,31.0,25.7,28.1,5.7,5.7,6.2,Nha Trang,Nha Trang
2009-04-16,31.7,26.7,28.6,18.4,18.4,5.4,Nha Trang,Nha Trang
2009-04-17,32.7,26.9,29.4,0.8,0.8,5.4,Nha Trang,Nha Trang
2009-04-18,33.4,27.4,30.0,1.9,1.9,5.9,Nha Trang,Nha Trang
2009-04-19,33.6,26.0,29.5,0.9,0.9,5.8,Nha Trang,Nha Trang
2009-04-20,34.0,26.6,29.8,1.8,1.8,6.3,Nha Trang,Nha Trang
2009-04-21,30.8,25.8,27.9,38.9,38.9,6.9,Nha Trang,Nha Trang
2009-04-22,30.4,26.1,27.8,12.9,12.9,4.4,Nha Trang,Nha Trang
2009-04-23,29.9,26.3,27.8,18.1,18.1,5.0,Nha Trang,Nha Trang
2009-04-24,31.3,25.4,28.4,6.3,6.3,5.4,Nha Trang,Nha Trang
2009-04-25,31.2,26.8,28.5,21.3,21.3,6.5,Nha Trang,Nha Trang
2009-04-26,29.2,25.6,26.8,11.3,11.3,7.9,Nha Trang,Nha Trang
2009-04-27,28.8,24.3,26.3,31.2,31.2,4.5,Nha Trang,Nha Trang
2009-04-28,29.4,24.7,26.4,17.5,17.5,7.1,Nha Trang,Nha Trang
2009-04-29,28.9,24.3,26.0,44.5,44.5,7.2,Nha Trang,Nha Trang
2009-04-30,26.9,24.0,24.9,45.1,45.1,4.2,Nha Trang,Nha Trang
2009-05-01,29.3,23.7,25.7,27.3,27.3,8.2,Nha Trang,Nha Trang
2009-05-02,25.3,23.9,24.5,21.8,21.8,5.6,Nha Trang,Nha Trang
2009-05-03,28.3,24.8,26.2,1.7,1.7,13.5,Nha Trang,Nha Trang
2009-05-04,27.1,24.9,25.8,1.0,1.0,10.6,Nha Trang,Nha Trang
2009-05-05,25.4,22.6,23.7,39.5,39.5,7.4,Nha Trang,Nha Trang
2009-05-06,29.7,21.8,25.7,0.8,0.8,6.0,Nha Trang,Nha Trang
2009-05-07,28.7,24.5,26.3,7.4,7.4,7.3,Nha Trang,Nha Trang
2009-05-08,28.8,24.6,26.5,14.3,14.3,5.8,Nha Trang,Nha Trang
2009-05-09,29.6,24.3,26.6,13.4,13.4,5.7,Nha Trang,Nha Trang
2009-05-10,29.4,24.3,26.6,14.4,14.4,6.7,Nha Trang,Nha Trang
2009-05-11,29.6,24.8,26.9,5.9,5.9,7.0,Nha Trang,Nha Trang
2009-05-12,29.3,24.3,26.6,0.9,0.9,7.0,Nha Trang,Nha Trang
2009-05-13,29.3,24.4,26.9,1.4,1.4,8.3,Nha Trang,Nha Trang
2009-05-14,28.8,23.9,26.1,6.8,6.8,7.6,Nha Trang,Nha Trang
2009-05-15,27.8,23.8,26.0,7.4,7.4,7.3,Nha Trang,Nha Trang
2009-05-16,29.6,24.0,26.4,5.7,5.7,9.4,Nha Trang,Nha Trang
2009-05-17,29.1,24.3,26.8,1.7,1.7,7.6,Nha Trang,Nha Trang
2009-05-18,29.9,24.5,27.4,0.2,0.2,7.6,Nha Trang,Nha Trang
2009-05-19,29.5,24.7,26.9,13.6,13.6,6.9,Nha Trang,Nha Trang
2009-05-20,29.8,24.6,27.3,15.9,15.9,5.4,Nha Trang,Nha Trang
2009-05-21,29.9,25.5,27.7,11.0,11.0,4.2,Nha Trang,Nha Trang
2009-05-22,30.8,24.8,27.4,23.3,23.3,4.9,Nha Trang,Nha Trang
2009-05-23,28.3,24.7,26.6,15.8,15.8,3.6,Nha Trang,Nha Trang
2009-05-24,30.0,24.3,27.0,10.1,10.1,5.1,Nha Trang,Nha Trang
2009-05-25,27.7,25.1,26.4,23.3,23.3,4.0,Nha Trang,Nha Trang
2009-05-26,30.5,24.7,27.3,11.5,11.5,5.0,Nha Trang,Nha Trang
2009-05-27,29.8,26.4,27.5,18.3,18.3,5.1,Nha Trang,Nha Trang
2009-05-28,30.9,25.9,27.9,18.7,18.7,4.7,Nha Trang,Nha Trang
2009-05-29,31.3,25.5,28.3,6.2,6.2,5.0,Nha Trang,Nha Trang
2009-05-30,29.1,25.1,27.4,12.7,12.7,4.7,Nha Trang,Nha Trang
2009-05-31,29.5,24.9,26.9,5.1,5.1,3.6,Nha Trang,Nha Trang
2009-06-01,29.1,25.5,27.1,4.6,4.6,5.2,Nha Trang,Nha Trang
2009-06-02,29.8,25.2,27.4,14.5,14.5,5.8,Nha Trang,Nha Trang
2009-06-03,30.8,25.3,27.9,2.2,2.2,6.1,Nha Trang,Nha Trang
2009-06-04,30.3,25.6,27.6,6.7,6.7,5.8,Nha Trang,Nha Trang
2009-06-05,32.1,25.6,28.4,0.2,0.2,5.8,Nha Trang,Nha Trang
2009-06-06,32.4,26.1,28.8,0.4,0.4,9.2,Nha Trang,Nha Trang
2009-06-07,32.5,25.7,29.1,0.0,0.0,7.0,Nha Trang,Nha Trang
2009-06-08,32.8,26.5,29.4,0.0,0.0,6.1,Nha Trang,Nha Trang
2009-06-09,31.7,26.7,29.1,4.8,4.8,5.4,Nha Trang,Nha Trang
2009-06-10,31.8,26.0,28.2,9.2,9.2,5.9,Nha Trang,Nha Trang
2009-06-11,32.1,24.7,28.3,4.9,4.9,5.8,Nha Trang,Nha Trang
2009-06-12,32.5,25.8,28.8,3.6,3.6,5.4,Nha Trang,Nha Trang
2009-06-13,33.1,25.4,29.2,0.2,0.2,6.5,Nha Trang,Nha Trang
2009-06-14,32.7,26.2,29.5,0.4,0.4,6.1,Nha Trang,Nha Trang
2009-06-15,32.1,27.4,29.0,11.4,11.4,5.8,Nha Trang,Nha Trang
2009-06-16,30.7,25.5,28.0,19.2,19.2,4.7,Nha Trang,Nha Trang
2009-06-17,30.8,23.9,27.5,6.1,6.1,5.1,Nha Trang,Nha Trang
